ACC_X,ACC_Y,ACC_Z,GY_X,GY_Y,GY_Z
132,-1307,15308,-849,-341,-351
765,255,15316,-861,-295,-357
192,-650,14806,-949,-341,-347
510,-602,14790,-949,-351,-347
-363,-921,14328,-893,-279,-289
-1092,-522,14798,-997,-281,-299
144,-315,14790,-937,-333,-305
80,-965,14830,-885,-353,-343
765,-1698,14551,-933,-323,-305
180,255,14846,-929,-347,-351
255,-969,14838,-997,-383,-305
510,-837,15053,-865,5,-375
-750,-714,14790,-981,-369,-359
-263,212,14535,-1005,-381,-331
255,-618,15093,-985,-351,-381
765,-821,14312,-953,-367,-351
1020,-929,14822,-933,1,-367
255,-909,15061,-889,-293,-367
-315,-690,14790,-853,-373,-339
765,-1036,14814,-953,-415,-341
72,212,15085,-921,-325,-357
765,-809,15061,-929,-333,-369
765,-574,14045,-921,-391,-277
510,-646,14846,-1001,-387,-371
510,-1028,14806,-937,-329,-355
255,-889,14583,-1017,-375,-363
510,-1196,14806,-965,-395,-343
224,255,14559,-913,-307,-293
765,-459,15069,-921,-335,-359
510,255,14814,-925,-323,-275
255,-319,15053,-921,21,-289
1020,-773,14822,-949,-391,-341
510,-1347,14583,-985,-311,-379
255,-913,15069,-945,-347,-257
510,-738,14332,-933,-291,-357
184,-558,14838,-905,-309,-349
765,-586,14543,-901,-381,-337
-259,112,14806,-925,-391,-375
510,-997,14328,-937,-331,-347
-479,-403,14814,-1001,-335,-301
510,-630,14814,-881,-339,-315
-686,-845,14567,-961,-301,-427
120,-1124,14830,-917,-341,-397
-403,-522,14316,-889,-281,-397
52,80,14814,-893,-327,-363
255,-762,14328,-945,-329,-353
-419,-1291,15077,-929,-293,-345
-331,-618,14822,-985,-347,-383
510,-1236,14846,-909,-303,-385
255,160,14806,-985,-337,-321
-630,208,14280,-969,8,-343
96,-1347,14830,-865,-357,-289
128,-1092,14846,-917,-323,-351
765,-734,14846,-993,-291,-365
765,-1403,15356,-1009,-335,-387
255,-877,14559,-945,-297,-325
510,-813,14575,-957,-349,-291
255,200,14798,-921,-383,-355
1275,255,14543,-941,-343,-363
255,-785,14814,-1005,-377,-349
765,-1108,14332,-1021,-401,-359
